日期,销量
2019-01-01,312
2019-01-02,350
2019-01-03,390
2019-01-04,358
2019-01-05,334
2019-01-06,377
2019-01-07,347
2019-01-08,414
2019-01-09,434
2019-01-10,353
2019-01-11,415
2019-01-12,394
2019-01-13,380
2019-01-14,457
2019-01-15,386
2019-01-16,467
2019-01-17,414
2019-01-18,459
2019-01-19,408
2019-01-20,485
2019-01-21,430
2019-01-22,412
2019-01-23,502
2019-01-24,461
2019-01-25,478
2019-01-26,475
2019-01-27,471
2019-01-28,449
2019-01-29,529
2019-01-30,535
2019-01-31,457
2019-02-01,485
2019-02-02,526
2019-02-03,562
2019-02-04,565
2019-02-05,545
2019-02-06,551
2019-02-07,514
2019-02-08,560
2019-02-09,524
2019-02-10,594
2019-02-11,550
2019-02-12,514
2019-02-13,532
2019-02-14,600
2019-02-15,528
2019-02-16,550
2019-02-17,550
2019-02-18,626
2019-02-19,551
2019-02-20,561
2019-02-21,643
2019-02-22,568
2019-02-23,633
2019-02-24,666
2019-02-25,666
2019-02-26,621
2019-02-27,683
2019-02-28,676
2019-03-01,675
2019-03-02,699
2019-03-03,700
2019-03-04,652
2019-03-05,631
2019-03-06,686
2019-03-07,657
2019-03-08,694
2019-03-09,722
2019-03-10,679
2019-03-11,705
2019-03-12,740
2019-03-13,677
2019-03-14,699
2019-03-15,713
2019-03-16,682
2019-03-17,762
2019-03-18,689
2019-03-19,733
2019-03-20,775
2019-03-21,757
2019-03-22,776
2019-03-23,774
2019-03-24,735
2019-03-25,739
2019-03-26,770
2019-03-27,744
2019-03-28,758
2019-03-29,776
2019-03-30,823
2019-03-31,761
2019-04-01,822
2019-04-02,835
2019-04-03,785
2019-04-04,787
2019-04-05,789
2019-04-06,867
2019-04-07,832
2019-04-08,844
2019-04-09,793
2019-04-10,795
2019-04-11,859
2019-04-12,841
2019-04-13,882
2019-04-14,846
2019-04-15,891
2019-04-16,894
2019-04-17,870
2019-04-18,890
2019-04-19,934
2019-04-20,854
2019-04-21,918
2019-04-22,945
2019-04-23,889
2019-04-24,963
2019-04-25,921
2019-04-26,956
